|   Fermi name | Fermi ID | GBM Trigger-time | GBM RA | GBM Dec | GBM Error-radius | GBM T90 | GBM T90_error |     GBM flux | GBM flux_error | GBM fluence | GBM fluence_error |    Epeak | Epeak_error |        alpha | alpha_error |      beta |     beta_error |
| GRB170817529 |   170817 |           12.685 | 13.163 | -23.381 |              0.0 |   2.048 |         0.466 | 8.063141e-07 |   3.027622e-07 |  2.7914e-07 |        1.7403e-08 | 176.9653 |    98.81014 |      1.72821 |    2.990664 | -2.467531 |       1.472343 |
| GRB170606968 |   170606 |           23.238 |  8.211 |   43.93 |             3.12 |  11.264 |         0.724 | 1.050498e-06 |   5.984773e-08 |   4.742e-06 |         1.471e-08 | 83.29275 |    6.681099 |    -0.592694 |   0.1335628 | -2.813801 |      0.5687332 |
| GRB170604603 |   170604 |           14.468 | 22.696 |   40.67 |              4.1 |    0.32 |         0.143 | 6.468303e-06 |    6.77985e-07 |  1.6719e-06 |        1.1848e-08 | 1285.123 |    353.7221 |   -0.3021677 |    0.200839 | -5.463281 |       29.96745 |
| GRB170530581 |   170530 |           13.937 |  7.816 |   14.58 |             5.39 |  19.456 |         1.145 | 2.875038e-07 |   9.570255e-08 |  3.4046e-06 |        3.3977e-08 | 67.47682 |    8.607918 |    -1.119787 |   0.1905296 | -5.986963 |       188.5651 |
| GRB170527480 |   170527 |           11.517 | 13.013 |    0.94 |              1.0 |  49.153 |         1.557 | 8.016775e-06 |    1.41021e-07 |  8.4296e-05 |         3.398e-08 | 1322.971 |    65.88843 |   -0.5334045 |  0.03220618 | -12.35733 |       10143.16 |
| GRB170522657 |   170522 |            15.76 |  9.289 |   25.67 |             0.19 |   7.424 |         0.572 | 6.695675e-06 |    1.41486e-07 |  2.2923e-05 |        2.3367e-08 | 402.2157 |     23.8234 |   -0.1913263 |  0.05350241 | -2.346214 |      0.1408744 |
| GRB170521882 |   170521 |            21.18 |  5.432 |   63.49 |              9.7 |    7.68 |         1.999 | 4.683697e-07 |   7.098553e-08 |  9.4081e-07 |        4.9725e-08 | 35.05945 |    12.02271 |     1.449892 |    2.659272 | -1.746972 |      0.3604974 |
| GRB170520202 |   170520 |            4.854 | 16.303 |   -5.29 |            16.51 |   6.144 |         5.081 | 1.823546e-07 |   3.495938e-08 |  4.0795e-07 |        1.2631e-08 | 34.07091 |    11.19987 |     1.372442 |    1.888219 | -2.373925 |      0.5959113 |
| GRB170516808 |   170516 |           19.402 |  0.817 |   -6.41 |            14.49 |  11.008 |         6.802 | 3.743142e-07 |   4.684376e-08 |  3.5736e-07 |           3.6e-08 | 102.2251 |    32.87175 |     4.705828 |    3.014949 | -1.483477 |      0.1481208 |
| GRB170514180 |   170514 |            4.311 |   8.14 |   -25.3 |             2.21 | 103.938 |         0.923 |  1.26266e-06 |   8.320716e-08 |  2.2537e-05 |        3.5605e-08 | 121.5822 |    17.03174 |      -1.1214 |  0.09744525 | -2.497692 |       1.280265 |
