|         name |                   Ttime |   T90 | T90_error | flux [erg.cm^{-2}.s^{-1}] | flux_error [erg.cm^{-2}.s^{-1}] | fluence [erg.cm^{-2}] | fluence_error [erg.cm^{-2}] | Epeak (siml) [MeV] | Epeak_error (siml) [MeV] |
| GRB160428412 | 2016-04-28 09:53:17.762 | 0.576 |      1.27 |              1.396456e-06 |                    3.241034e-07 |          8.898625e-08 |                2.065282e-08 |       1.7247677216 |                      0.0 |
| GRB121023322 | 2012-10-23 07:44:16.946 | 0.512 |     0.181 |              3.120732e-06 |                    4.290203e-07 |          1.985375e-07 |                2.729379e-08 |    0.0316125283169 |                      0.0 |
| GRB120609580 | 2012-06-09 13:54:35.623 | 1.792 |      0.81 |              8.870887e-07 |                    2.618016e-07 |          5.651846e-08 |                1.667998e-08 |    0.0654699664995 |                      0.0 |
| GRB120212353 | 2012-02-12 08:27:47.590 | 0.864 |     0.577 |               1.40962e-06 |                    3.384665e-07 |          8.968681e-08 |                2.153487e-08 |     0.744404295661 |                      0.0 |
| GRB120210650 | 2012-02-10 15:35:43.281 | 1.344 |     0.264 |               7.25064e-07 |                    6.447272e-08 |          7.395153e-07 |                6.575773e-08 |     0.577110368266 |                      0.0 |
| GRB120205285 | 2012-02-05 06:51:05.307 | 0.576 |     0.272 |              1.073572e-06 |                    2.567626e-07 |          6.846837e-08 |                1.637534e-08 |     0.141500130597 |                      0.0 |
| GRB120129312 | 2012-01-29 07:29:14.054 |  1.28 |     0.689 |              1.332555e-06 |                    3.254139e-07 |          8.496173e-08 |                2.074791e-08 |    0.0340027809107 |                      0.0 |
| GRB101021063 | 2010-10-21 01:30:31.658 | 1.536 |      2.36 |              1.383562e-06 |                     3.90884e-07 |          8.817349e-08 |                2.491078e-08 |     0.510465365668 |                      0.0 |
| GRB100719311 | 2010-07-19 07:28:17.623 |   1.6 |     0.854 |              8.822104e-07 |                     3.56137e-07 |          5.621005e-08 |                2.269127e-08 |      1.56927987028 |                      0.0 |
| GRB100204858 | 2010-02-04 20:36:03.767 |  1.92 |     2.375 |              1.147041e-06 |                     4.48629e-07 |          7.315135e-08 |                2.861084e-08 |     0.332102997413 |                      0.0 |
| GRB091224373 | 2009-12-24 08:57:36.557 | 0.768 |     0.231 |              1.618069e-06 |                    2.834345e-07 |           1.03015e-07 |                1.804497e-08 |      1.03177333935 |                      0.0 |
| GRB091122163 | 2009-11-22 03:54:20.375 | 1.984 |     1.925 |              6.950443e-07 |                             0.0 |          4.430183e-08 |                         0.0 |     0.378076200558 |                      0.0 |
| GRB091006360 | 2009-10-06 08:38:46.928 | 0.192 |     0.091 |              7.545648e-07 |                    2.569863e-07 |          4.807716e-08 |                 1.63739e-08 |     0.829614571858 |                      0.0 |
| GRB090909854 | 2009-09-09 20:29:52.740 | 1.152 |     2.244 |              1.461776e-06 |                    2.724213e-07 |          9.304094e-08 |                1.733941e-08 |     0.271024580981 |                      0.0 |
| GRB090626707 | 2009-06-26 16:58:45.464 |       |           |              3.938793e-07 |                    4.628924e-08 |          4.018344e-07 |                4.722413e-08 |     0.306507816153 |                      0.0 |
| GRB090620901 | 2009-06-20 21:37:35.751 |  0.96 |     0.272 |              6.078769e-07 |                             0.0 |          3.871917e-08 |                         0.0 |     0.843932564702 |                      0.0 |
| GRB090616157 | 2009-06-16 03:45:42.532 | 1.152 |     1.168 |               5.14892e-07 |                             0.0 |          3.278585e-08 |                         0.0 |      0.04403117137 |                      0.0 |
| GRB090418816 | 2009-04-18 19:35:24.918 |  0.32 |     0.405 |              2.083978e-07 |                             0.0 |          2.125625e-07 |                         0.0 |     0.468674293231 |                      0.0 |
| GRB090405663 | 2009-04-05 15:54:41.341 | 0.448 |     1.498 |              2.534528e-06 |                     4.06544e-07 |           1.61109e-07 |                2.584225e-08 |     0.196927826057 |                      0.0 |
| GRB080815917 | 2008-08-15 22:00:05.085 | 0.832 |      0.32 |              1.229326e-06 |                    2.746905e-07 |          7.829189e-08 |                1.749417e-08 |    0.0210038143701 |                      0.0 |
| GRB080723913 | 2008-07-23 21:55:23.058 | 0.192 |     0.345 |              1.183467e-06 |                    2.135367e-07 |          7.542046e-08 |                1.360836e-08 |    0.0785064379736 |                      0.0 |
