|    name |       pseudo z |   pseudo z_error | Epeak (siml) [keV] | Epeak_error (siml) [keV] | Luminosity [erg/s] | Luminosity_error [erg/s] |
| 910502A |   17.447182727 |  0.0378653280596 |      1123.66702286 |                      0.0 |  5.38414959455e+54 |        1.89868076898e+52 |
|  910512 |  1.63402617676 |   0.148205198216 |      56.1094639284 |                      0.0 |  1.10275872704e+51 |        1.06597498375e+50 |
| 910518A |  3.63804601656 |    0.23134939937 |      136.908546198 |                      0.0 |  1.34991677753e+52 |        1.15681384485e+51 |
| 910521A |   1.0270201674 |  0.0293313029561 |      77.6177182278 |                      0.0 |  1.22843796399e+51 |        3.05386387807e+49 |
| 910526B |  10.7251161786 |  0.0778410031537 |       527.63323541 |                      0.0 |  6.74445051324e+53 |        7.69238480701e+51 |
| 910602B |  2.62103594816 |  0.0717809999157 |      167.540490227 |                      0.0 |  1.24801243313e+52 |         4.2502917192e+50 |
| 910607B |  10.1651106345 |   0.151089674678 |      355.607320058 |                      0.0 |  3.14798843372e+53 |        7.31860052982e+51 |
|  910608 |  1.54502529565 |  0.0312022583749 |      132.740506629 |                      0.0 |  4.56845228852e+51 |        9.62246142271e+49 |
|  910609 | 0.650016435064 | 0.00444215762806 |      171.363704031 |                      0.0 |   3.3653198493e+51 |        1.55652177903e+49 |
|  910616 |  1.57302557286 |  0.0553022132356 |      105.578655992 |                      0.0 |  3.14095020673e+51 |        1.15979870886e+50 |
|  910625 |  1.09002079111 |  0.0611546789142 |      59.1810210482 |                      0.0 |   8.1273458919e+50 |        4.08555429735e+49 |
|  910626 |  1.65602639456 | 0.00998794305832 |       382.73270507 |                      0.0 |   3.0313162478e+52 |        1.95838501782e+50 |
| 910702B |   2.0190299883 |  0.0281687685882 |      255.805817119 |                      0.0 |  1.88945746772e+52 |        3.02873108444e+50 |
|  910703 |  2.26803245342 |  0.0728556170487 |      150.771237856 |                      0.0 |  8.73469466238e+51 |         3.3453962644e+50 |
| 910705B |  2.43803413644 |   0.082213187323 |      134.117292087 |                      0.0 |  7.78922348389e+51 |        3.19999003005e+50 |
| 910705A |  8.54009454685 |   0.284374199108 |      236.778400319 |                      0.0 |   1.1946231764e+53 |        6.11774833716e+51 |
|  910710 | 0.353013494735 |  0.0235272418932 |      14.8850505603 |                      0.0 |  3.59000868942e+49 |        1.07247591716e+48 |
|  910711 |  3.27704244262 |    0.14496596708 |      158.205838884 |                      0.0 |  1.50607314377e+52 |         8.7698410281e+50 |
| 910717A |  2.08103060211 |  0.0371982389343 |      190.582253173 |                      0.0 |  1.18004260665e+52 |        2.44763816013e+50 |
| 910718A |  2.12303101791 |  0.0377949090479 |      216.850564822 |                      0.0 |  1.50816228451e+52 |        3.13565477532e+50 |
|  910722 |  7.39708323103 |   0.135361460208 |      404.897364252 |                      0.0 |  2.41148275544e+53 |        6.67842253592e+51 |
| 910725B | 0.743017355774 |  0.0223558055917 |       71.576871075 |                      0.0 |  8.24914180867e+50 |        1.81769302936e+49 |
| 910802A | 0.617016108361 |  0.0129907206167 |      76.8709602091 |                      0.0 |  8.19869195176e+50 |        1.13158354897e+49 |
| 910814A |  1.09702086041 |  0.0442336034054 |      69.4762146157 |                      0.0 |  1.07698778252e+51 |        3.90286478351e+49 |
|  910827 |  3.11404082891 |   0.243543609505 |      109.258118774 |                      0.0 |  7.45806667649e+51 |        7.58503452815e+50 |
|  910828 |   8.0810900027 |  0.0691785329792 |      511.859104282 |                      0.0 |  4.12744628661e+53 |        5.40179324812e+51 |
|  910912 |  5.73706679687 |   0.105272568434 |      313.768870814 |                      0.0 |  1.06591157284e+53 |        2.86146674196e+51 |
|  910916 |   1.9960297606 |  0.0985560990526 |      88.9985132233 |                      0.0 |   3.0399218639e+51 |        1.71799922169e+50 |
|  910919 |  1.65302636486 |  0.0267433741396 |      166.213018158 |                      0.0 |  7.21517798331e+51 |        1.24952469136e+50 |
| 910928B |  3.50504469985 |   0.164206187177 |      133.606659755 |                      0.0 |  1.23145814932e+52 |        7.71139996437e+50 |
| 910928A |     3.00303973 |  0.0643361140868 |      208.341324214 |                      0.0 |  2.15616931774e+52 |        5.95348065311e+50 |
|  910929 |  3.09904068041 |   0.208552468663 |      111.267616358 |                      0.0 |  7.64802227347e+51 |        6.68506154902e+50 |
|  911002 |  4.78605738187 |   0.200373740161 |      183.038730749 |                      0.0 |   3.2511138405e+52 |        1.93425356007e+51 |
|  911007 |  3.82104782828 |   0.116183496642 |      210.137252853 |                      0.0 |  3.01223506762e+52 |        1.24713946498e+51 |
| 911016A |  1.42102406804 |  0.0321860785429 |      140.912276791 |                      0.0 |   4.6462509327e+51 |        1.06119398733e+50 |
|  911019 |  2.95203922509 |   0.187403802449 |      109.534380046 |                      0.0 |  6.99200095365e+51 |        5.69615489426e+50 |
| 911025B |   6.0700700936 |    0.21571786774 |       187.09867316 |                      0.0 |  4.76379605187e+52 |        2.49711600963e+51 |
| 911025A |  1.27802265233 |  0.0227476997295 |      130.573975049 |                      0.0 |  3.66951312837e+51 |        6.29522205584e+49 |
|  911113 |  4.34905305553 |   0.179284923592 |      166.130582233 |                      0.0 |  2.40543186702e+52 |        1.38510623613e+51 |
| 911117B | 0.393013890739 |  0.0144377818152 |       26.978941872 |                      0.0 |  1.05133251049e+50 |        1.87201050367e+48 |
| 911117A |   1.0260201575 |  0.0322984855905 |      77.6346908447 |                      0.0 |  1.22886964651e+51 |        3.36563778162e+49 |
| 911119B | 0.451014464945 | 0.00938657027261 |      46.9634339981 |                      0.0 |  2.92385157818e+50 |        3.24947856465e+48 |
| 911120C |  12.7361360877 |  0.0742325525748 |      666.430025552 |                      0.0 |  1.32223139197e+54 |        1.22761004384e+52 |
| 911120B |  2.58003554226 |  0.0690946102751 |      162.759726136 |                      0.0 |  1.16486068145e+52 |        3.86237092482e+50 |
| 911120A |  3.91504875889 |   0.141761060919 |      170.311599864 |                      0.0 |  2.17016606896e+52 |         1.0753386427e+51 |
| 911123A |  1.86102842408 |  0.0424661316991 |      149.233842121 |                      0.0 |  6.82494125607e+51 |        1.74037408142e+50 |
