|         name |       pseudo z |  pseudo z_error | Epeak (siml) [keV] | Epeak_error (siml) [keV] | Luminosity [erg/s] | Luminosity_error [erg/s] |
| GRB160428412 |  0.40801403924 | 0.0399632071556 |      87.0336377606 |                      0.0 |  7.98407527614e+50 |        3.89314995057e+49 |
| GRB121023322 |  2.27103248312 |  0.104679391776 |      710.274708843 |                      0.0 |  1.25405420897e+53 |        6.89470681442e+51 |
| GRB120609580 |  1.49002475115 |  0.157388867048 |      243.191304029 |                      0.0 |  1.24382382376e+52 |        1.35067970861e+51 |
| GRB120212353 | 0.631016246962 | 0.0608537781624 |       139.59044283 |                      0.0 |   2.3154853141e+51 |        1.48420691318e+50 |
| GRB120210650 |  4.70105654037 |  0.124711993467 |      494.843079988 |                      0.0 |  1.74992202321e+53 |         6.5764985625e+51 |
| GRB120205285 | 0.337013336333 | 0.0346943008684 |       60.346673655 |                      0.0 |  3.90825496495e+50 |        1.74232211419e+49 |
| GRB120129312 |  2.30403280983 |  0.188216096506 |      437.547085128 |                      0.0 |  5.55031886208e+52 |        5.43192173809e+51 |
| GRB101021063 | 0.526015207452 | 0.0609762167915 |       113.89699789 |                      0.0 |  1.45698183707e+51 |        1.00018171634e+50 |
| GRB100719311 |  5.60006544055 |  0.655889726862 |      614.734616049 |                      0.0 |  3.26744676871e+53 |        5.57845928308e+52 |
| GRB100204858 | 0.735017276573 |  0.113325754843 |      144.824674079 |                      0.0 |  2.74551151406e+51 |         3.0808549072e+50 |
| GRB091224373 |  6.69707630096 |  0.330696772751 |      968.361577977 |                      0.0 |  9.28802493844e+53 |        6.85568251425e+52 |
| GRB091122163 |  45.3424588903 |             0.0 |      1882.93025349 |                      0.0 |  6.36135707584e+55 |                      0.0 |
| GRB091006360 |  2.38803364144 |  0.270511417269 |      322.770954665 |                      0.0 |  3.43525108584e+52 |         4.7121546015e+51 |
| GRB090909854 | 0.180011782018 | 0.0152549673498 |      35.6148540291 |                      0.0 |  1.27309387579e+50 |        2.82753850188e+48 |
| GRB090626707 |  2.80103773018 |  0.106717844841 |      248.001990482 |                      0.0 |  2.66227058839e+52 |        1.28413362865e+51 |
| GRB090620901 | 0.616016098461 |             0.0 |      83.3812735294 |                      0.0 |  9.41241389368e+50 |                      0.0 |
| GRB090616157 | 0.560015544055 |             0.0 |      68.4963766367 |                      0.0 |  6.31472826279e+50 |                      0.0 |
| GRB090418816 |  3.22804195752 |             0.0 |      188.721266307 |                      0.0 |  1.99909687738e+52 |                      0.0 |
| GRB090405663 |  3.56304527405 |  0.178239504227 |      862.409943098 |                      0.0 |  3.09991429993e+53 |        2.08028115418e+52 |
| GRB080815917 |  2.58003554226 |  0.189385745784 |      453.750974517 |                      0.0 |  6.77990842454e+52 |        6.16179063269e+51 |
| GRB080723913 | 0.662016553866 | 0.0476981875819 |      132.465484628 |                      0.0 |  2.18749307042e+51 |        1.07854030058e+50 |
