|         name |       pseudo z |  pseudo z_error | Epeak (meas) [keV] | Epeak_error (meas) [keV] | Luminosity [erg/s] | Luminosity_error [erg/s] |
| GRB170604603 |  1.39702383044 |  0.246122182615 |           1285.123 |                 353.7221 |  7.59264030082e+52 |        3.05399475791e+52 |
| GRB170511648 |  1.75102733507 |  0.824220294149 |           185.9839 |                 83.74623 |  1.02033140615e+52 |         9.3462167299e+51 |
| GRB170506169 |  1.89302874089 |  0.796482921346 |           1209.007 |                 869.1965 |  8.89186382671e+52 |        1.13563829952e+53 |
| GRB170206453 | 0.396013920439 | 0.0263303798692 |           382.8193 |                 34.17923 |  9.65542754606e+51 |        6.47239195456e+50 |
| GRB170127634 |  1.40802393934 |  0.353918430609 |           696.9158 |                 274.9997 |   2.8649244463e+52 |        1.65893528388e+52 |
| GRB170127067 | 0.367013633336 | 0.0172428617154 |           930.8628 |                 50.93115 |  2.68933342791e+52 |        1.09903251639e+51 |
| GRB170124528 | 0.714017068671 |  0.216310125256 |            184.107 |                 77.06606 |  4.61756837138e+51 |        1.91452989979e+51 |
| GRB170121133 | 0.832018236882 |  0.218517575794 |           240.7194 |                 86.72807 |  6.62685828893e+51 |        2.58514521191e+51 |
| GRB170111760 |  1.44402429574 |  0.362950959028 |           802.1448 |                 320.6566 |  4.50196943063e+52 |        2.67849709928e+52 |
| GRB161230298 |  1.17502163262 |  0.304801978218 |           430.6406 |                 155.9613 |  1.90507802786e+52 |        9.24143153016e+51 |
| GRB161218222 |  1.65302636486 |  0.198284754003 |           2041.903 |                 377.6876 |  1.43558026991e+53 |        4.39192070565e+52 |
| GRB161026373 |  1.17402162272 |  0.335171809677 |            207.184 |                 57.72955 |  8.05816229456e+51 |        3.36665373729e+51 |
| GRB161015400 | 0.991019810998 |  0.316039533766 |           256.7502 |                 119.2586 |  7.44248785685e+51 |        4.10052683879e+51 |
| GRB160829334 | 0.940019306093 |  0.311178702586 |           242.8424 |                 123.8213 |  6.76526345218e+51 |         3.9061597531e+51 |
| GRB160826938 |  0.91201902889 |  0.382130899171 |            72.9363 |                 30.60969 |  1.78918700774e+51 |        9.41053314597e+50 |
| GRB160822672 | 0.840018316083 |  0.153943461613 |           640.2372 |                 177.8453 |  2.21665638649e+52 |        6.54580365574e+51 |
| GRB160821937 | 0.866018573486 |  0.363017298403 |           125.1894 |                 75.88052 |  3.73275268628e+51 |         2.4762697659e+51 |
| GRB160820496 |  1.13902127621 |  0.257053940102 |           530.0693 |                 183.8305 |  2.38993317739e+52 |        1.05998194662e+52 |
| GRB160806584 | 0.726017187472 |  0.111318030429 |           180.5943 |                 32.11278 |   5.3412110497e+51 |        9.91881133934e+50 |
| GRB160804968 |  2.10003079021 |  0.629026901531 |           1722.469 |                 920.8385 |  1.45548493473e+53 |         1.4775586976e+53 |
| GRB160804180 |  1.24902236522 |  0.220050672498 |           1198.606 |                 347.6891 |  6.52425081109e+52 |        2.52736697493e+52 |
| GRB160726065 |  1.14502133561 |   0.30512629886 |           865.0218 |                 354.0813 |  4.27235077835e+52 |         2.2444431702e+52 |
| GRB160612842 | 0.887018781388 |  0.196328473319 |           652.9112 |                 233.7752 |   2.1087572699e+52 |        8.16455129665e+51 |
| GRB160411062 |   1.0300201971 |  0.246296191678 |           102.7589 |                 23.64955 |  3.27441575032e+51 |        1.03735411617e+51 |
| GRB160408268 |  1.10102090001 |  0.330382302125 |           593.9627 |                 298.3688 |  2.21381652436e+52 |         1.3622075624e+52 |
| GRB160406503 | 0.562015563856 |  0.111223076609 |           248.4562 |                 77.38967 |  5.74515641666e+51 |        1.52486655145e+51 |
| GRB151231568 |  1.09002079111 |  0.276833161663 |           578.0789 |                 237.7015 |  2.34469391527e+52 |        1.18291786135e+52 |
| GRB151229486 | 0.991019810998 |  0.563363683332 |           226.9345 |                 216.4868 |  6.30942057117e+51 |         6.8993069242e+51 |
| GRB151229285 | 0.896018870489 | 0.0674334919536 |           101.8448 |                 10.33207 |   3.6251068985e+51 |        4.18150396536e+50 |
| GRB151228129 |  1.27902266223 |  0.301306781768 |           963.9893 |                 351.4275 |    5.146461029e+52 |        2.58707201189e+52 |
| GRB151222340 |  1.36002346413 |  0.369196572749 |            1161.49 |                 533.6354 |  5.84082227034e+52 |        3.76951920672e+52 |
| GRB150923864 | 0.544015385654 | 0.0815686382833 |           120.8878 |                 21.12312 |  2.82530919442e+51 |        4.40776664861e+50 |
| GRB150923297 | 0.854018454685 |  0.437457325877 |           189.9169 |                 170.6284 |  4.84455067814e+51 |        4.52407846895e+51 |
| GRB150922234 | 0.739017316173 | 0.0723179767069 |           675.1127 |                 95.14654 |  2.47379938242e+52 |         3.4864176148e+51 |
| GRB150912600 |  1.29502282063 |  0.377217272692 |            382.278 |                 142.2673 |  1.76111954527e+52 |        9.62858699187e+51 |
| GRB150906944 |  0.50201496985 |   0.13589224976 |           157.1643 |                 68.88925 |   3.2283790628e+51 |        1.13854669512e+51 |
| GRB150819440 | 0.276012732427 | 0.0111414596159 |           542.0575 |                 26.10186 |  1.33034461155e+52 |        4.28761802819e+50 |
| GRB150811849 | 0.792017840878 |  0.109301580128 |           745.9009 |                 151.8488 |  2.88290046613e+52 |        6.06897881839e+51 |
| GRB150810485 | 0.529015237152 | 0.0759713211247 |           242.6199 |                 52.36776 |  5.68923707057e+51 |         1.0256026398e+51 |
| GRB150805746 | 0.885018761588 |  0.295562701091 |           58.38833 |                  21.3685 |  1.58640800926e+51 |        6.94129129893e+50 |
| GRB150728151 |  1.33502321663 |  0.595341203609 |           574.7437 |                 425.9215 |  2.29670228675e+52 |        2.37173982508e+52 |
| GRB150715136 |   3.0640403339 |   1.42414051911 |           1226.613 |                 1100.273 |  1.32704263337e+53 |        2.98716015898e+53 |
| GRB150705588 | 0.541015355954 |  0.329013869221 |           55.25069 |                 53.82241 |   1.0089829868e+51 |        8.19939035903e+50 |
| GRB150629564 |  2.89903870039 |  0.919911739373 |           1908.741 |                  1178.45 |  2.10369076697e+53 |        3.10782895406e+53 |
| GRB150628767 |  1.29702284043 |   0.37726911398 |            218.643 |                 46.66534 |   9.1474461848e+51 |        3.52357527137e+51 |
| GRB150604434 | 0.862018533885 |  0.188427311455 |           348.0588 |                 115.8768 |  1.13423728499e+52 |        4.07096044241e+51 |
| GRB150522944 |  1.35702343443 |  0.766959310998 |           265.8552 |                 256.5118 |  9.84490276032e+51 |        1.32938143529e+52 |
| GRB150506972 |  2.13703115651 |   1.14130475087 |           642.3626 |                 589.5518 |   4.6882090065e+52 |        8.36913153124e+52 |
| GRB150506630 |  1.28502272163 |  0.261216872288 |           959.0771 |                 326.1658 |  4.87553593494e+52 |        2.24777111946e+52 |
| GRB150412931 |  2.40503380974 |  0.932943219628 |           1142.185 |                 790.5856 |  1.00549680164e+53 |         1.4687626008e+53 |
| GRB150214293 |  1.51002494915 |  0.595332736356 |           462.9161 |                 289.0205 |  2.32691139558e+52 |        2.23423552553e+52 |
| GRB150118927 | 0.459014544145 | 0.0524018946352 |           257.3183 |                 42.98204 |  6.28152821047e+51 |        8.25893887295e+50 |
| GRB150101641 | 0.525015197552 |  0.103288087295 |           23.09543 |                 4.745475 |  4.11976884758e+50 |        7.62133975646e+49 |
| GRB141230871 | 0.384013801638 |  0.198841192343 |           40.79625 |                 34.50876 |  6.08520635805e+50 |        3.70045118978e+50 |
| GRB141213300 | 0.794017860679 |  0.206623353801 |           195.2583 |                 66.56731 |  6.17380190103e+51 |        2.24302209699e+51 |
| GRB141202470 | 0.973019632796 |   0.15243965274 |           647.5989 |                 140.9063 |  2.70489928151e+52 |        6.98677688262e+51 |
| GRB141113346 |  1.15202140491 |  0.624087643584 |           234.8776 |                  217.768 |  7.17348409063e+51 |        8.34303119115e+51 |
| GRB141105406 | 0.899018900189 |  0.125825391071 |           322.9593 |                 53.56593 |  1.15543949393e+52 |        2.26144410873e+51 |
| GRB141011282 | 0.642016355864 | 0.0888235463153 |           475.6797 |                 98.46963 |  1.45975939695e+52 |        2.77888544175e+51 |
| GRB140901821 | 0.523015177752 | 0.0339205410232 |           697.6152 |                  62.9287 |   2.1944138816e+52 |        1.66912578154e+51 |
| GRB140807500 |   1.0420203159 |  0.181304851139 |           826.8456 |                 234.3196 |   3.8017429016e+52 |        1.28290060258e+52 |
| GRB140710537 | 0.863018543785 |  0.495440587659 |           248.4266 |                 245.4092 |  6.01120479513e+51 |         6.2345316859e+51 |
| GRB140626843 |  1.09802087031 |   0.58370142691 |           246.9312 |                 199.8801 |  9.55241138326e+51 |        9.67880317425e+51 |
| GRB140605377 |   1.0590204842 |  0.165577411382 |           728.3437 |                 170.8517 |  3.29309398664e+52 |        9.48340383004e+51 |
| GRB140511095 |   1.0070199694 |  0.251910182035 |           315.4656 |                 107.2474 |  1.21197297358e+52 |        5.02743604849e+51 |
| GRB140428906 | 0.774017662677 |  0.222507406326 |           490.0442 |                 220.6209 |  1.51562351129e+52 |        6.87218742168e+51 |
| GRB140402007 |  2.12003098821 |  0.466656574488 |           1392.636 |                 489.5772 |  1.13417042235e+53 |        7.87364105229e+52 |
| GRB140105748 |  1.88102862209 |  0.943290219934 |           440.5833 |                 347.7609 |  2.75072817515e+52 |        3.92957688329e+52 |
| GRB140105065 |  1.23902226622 |  0.352678327711 |           420.6012 |                 173.1457 |  1.92650563069e+52 |        1.09012635404e+52 |
| GRB131217108 | 0.655016484565 |  0.205886784335 |           223.5437 |                 113.5455 |  4.80528281682e+51 |        2.23290393288e+51 |
| GRB131126163 | 0.486014811448 | 0.0551650626495 |           451.0256 |                  71.4245 |  1.22317026419e+52 |        1.57768392817e+51 |
| GRB130919173 | 0.487014821348 | 0.0864880234447 |            86.7071 |                 20.06369 |  1.81146640282e+51 |        3.46323997106e+50 |
| GRB130912358 |  1.31102297903 |  0.326066634954 |           921.1737 |                 399.8341 |    5.034143741e+52 |        2.97101409004e+52 |
