|    name |       pseudo z |  pseudo z_error | Epeak (siml) [keV] | Epeak_error (siml) [keV] | Luminosity [erg/s] | Luminosity_error [erg/s] |
| 170728A |  1.66102644406 | 0.0879280431634 |      352.776800807 |                      0.0 |  1.89381195185e+52 |        7.32151459519e+50 |
| 170524A |  1.44802433534 | 0.0877604267453 |      149.603003861 |                      0.0 |  6.29540407008e+51 |        2.64053828022e+50 |
| 170428A | 0.896018870489 | 0.0218847141866 |      330.522053891 |                      0.0 |  1.17986196035e+52 |        1.59336504268e+50 |
| 170325A |   1.0020199199 | 0.0607139955194 |      174.981021201 |                      0.0 |  5.98088832312e+51 |        2.12212995082e+50 |
| 170112A |  7.21308140941 |  0.347642428059 |       733.03469183 |                      0.0 |  1.66641016648e+53 |        8.25266878073e+51 |
| 161104A |  1.06902058321 | 0.0584613542288 |      114.508919687 |                      0.0 |  3.78123560625e+51 |        1.25003928193e+50 |
| 160714A |  1.83302814688 |  0.094122257704 |      401.386418777 |                      0.0 |  2.37099030207e+52 |        9.21631024918e+50 |
| 160624A |  3.27004237332 |  0.149076895098 |      422.962165272 |                      0.0 |  4.07469921121e+52 |        1.66440714376e+51 |
| 160601A | 0.620016138061 | 0.0508401783228 |      71.7125781554 |                      0.0 |  1.64282075271e+51 |        6.03203380063e+49 |
| 160525B |  1.77702759248 |  0.112616798909 |      324.623967445 |                      0.0 |  1.80735364754e+52 |        8.57535257895e+50 |
| 151205B | 0.720017128071 | 0.0737071992117 |      72.7694925068 |                      0.0 |   1.7933509997e+51 |        8.99142028088e+49 |
| 151127A |  1.73102713707 |   0.12442134174 |      156.824568227 |                      0.0 |  7.56630297006e+51 |        4.03309501791e+50 |
| 150831A |  1.29002277113 | 0.0237352121449 |      656.927673356 |                      0.0 |  3.28933447224e+52 |        3.98884550071e+50 |
| 150728A |  1.13402122671 | 0.0733424198871 |      106.523702754 |                      0.0 |   3.6051645024e+51 |        1.44966431403e+50 |
| 150710A |  2.73103703717 | 0.0957684863158 |      451.994513699 |                      0.0 |  3.75933828736e+52 |        1.12899061703e+51 |
| 150301A |  2.42103396814 |  0.124391570662 |      527.636444128 |                      0.0 |  4.07146634568e+52 |        1.73208928959e+51 |
| 150101A |  2.55203526505 |  0.214308457598 |      201.353988821 |                      0.0 |  1.37848337556e+52 |        9.73081994062e+50 |
| 140930B | 0.731017236972 | 0.0195830637874 |      330.458803749 |                      0.0 |  1.06068019367e+52 |         1.4039432949e+50 |
| 140606A |  1.50902493925 | 0.0903892279614 |      158.135219608 |                      0.0 |  6.91644795463e+51 |        2.91528268953e+50 |
| 140516A |  2.42703402754 |  0.124586983742 |       292.71687744 |                      0.0 |  2.04732188731e+52 |        8.70815691554e+50 |
| 140320A |  11.2641215147 |  0.361421423579 |       2433.6528835 |                      0.0 |  1.08463541584e+54 |        3.73978891547e+52 |
| 140129B |  2.61303586896 |  0.144985148069 |      530.473027952 |                      0.0 |  4.36619050667e+52 |        2.04993356301e+51 |
| 130626A |  1.54402528575 |  0.102082598915 |      269.454770291 |                      0.0 |  1.31177567984e+52 |        6.15851113863e+50 |
| 130313A |  10.3161121294 |  0.217631535369 |      1839.41885561 |                      0.0 |  7.11474923597e+53 |        1.60092152258e+52 |
| 121226A |   1.0500203951 | 0.0432543865467 |      257.792038187 |                      0.0 |  9.67917972098e+51 |        2.38944143709e+50 |
| 120804A | 0.627016207362 | 0.0106883482129 |      610.514289974 |                      0.0 |  2.02210851139e+52 |        1.55420762015e+50 |
| 120630A |  1.77402756278 |  0.144624748833 |      261.417419479 |                      0.0 |  1.40031269439e+52 |        8.54166891069e+50 |
| 120521A |  6.97707907299 |  0.114935729748 |      1794.96342042 |                      0.0 |  4.59272392625e+53 |         7.7422530636e+51 |
| 120403A |  1.31002296913 | 0.0741949066244 |      255.682804481 |                      0.0 |  1.10219806796e+52 |        4.14193521353e+50 |
| 120305A | 0.894018850689 | 0.0278050257088 |      267.938176872 |                      0.0 |  9.22325934302e+51 |        1.58419736308e+50 |
| 120229A |   5.0510600054 |  0.185220738516 |      721.321334032 |                      0.0 |   1.1437394787e+53 |        4.09610542198e+51 |
| 111020A | 0.594015880659 | 0.0491035939574 |      67.0517146109 |                      0.0 |  1.49116183167e+51 |        5.37441596503e+49 |
| 110112A |  1.10302091981 |  0.143662118757 |      102.399920317 |                      0.0 |  3.38429221523e+51 |        2.70490733163e+50 |
| 101224A |  2.44803423544 |  0.178954815719 |      394.352021496 |                      0.0 |  2.92345519765e+52 |        1.77522794152e+51 |
| 100702A | 0.367013633336 | 0.0148061203311 |      61.6510707083 |                      0.0 |  1.12777982293e+51 |        1.42915262357e+49 |
| 100628A |  3.43404399694 |  0.153219786648 |      449.159832318 |                      0.0 |  4.56731672824e+52 |        1.84655329381e+51 |
| 100117A | 0.377013732337 | 0.0156699933189 |      88.4221959992 |                      0.0 |  1.73565066556e+51 |        2.31088706109e+49 |
