|    name | measured z | Luminosity [erg/s] | Luminosity_error [erg/s] |
| 150423A |      1.394 |  3.77821699824e+51 |        3.17183649253e+50 |
| 150120A |       0.46 |  4.56155166693e+50 |        3.82945078209e+49 |
| 141212A |      0.596 |  5.72494297342e+50 |        7.20918744795e+49 |
| 140903A |      0.351 |  3.32663602007e+50 |          2.010766661e+49 |
| 140622A |      0.959 |  9.50220686772e+50 |         2.3931483963e+50 |
| 130603B |      0.356 |   8.8043940031e+50 |        3.11822287615e+49 |
| 101219A |      0.718 |  3.11124764108e+51 |        1.14669289752e+50 |
| 100724A |      1.288 |  6.47644116046e+51 |         5.1508537884e+50 |
|  090510 |      0.903 |  1.31648840015e+52 |        1.12798777011e+51 |
|  090426 |      2.609 |  5.48495162174e+52 |        5.18023208727e+51 |
|  071227 |      0.383 |   2.6161112261e+50 |        2.47077171352e+49 |
| 070724A |      0.457 |  2.49451150396e+50 |        3.76948405041e+49 |
| 070429B |      0.904 |  2.39545587471e+51 |        2.46804544662e+50 |
|  061217 |      0.827 |  1.61603211274e+51 |        1.96671469646e+50 |
|  061201 |      0.111 |  3.90354455175e+49 |         2.3686447654e+48 |
| 060502B |      0.287 |  5.16207043513e+49 |        7.54883418499e+48 |
| 051221A |      0.547 |   4.6348499559e+51 |        1.13811315585e+50 |
|  050813 |        1.8 |  7.79983468018e+51 |        1.44195525295e+51 |
| 050509B |      0.225 |  1.33768936937e+49 |        3.60963798106e+48 |
