| Swift name | Swift ID | BAT Trigger-time | BAT RA | BAT Dec | BAT Error-radius | BAT T90 | BAT Phoflux | BAT Phoflux_error | BAT fluence | BAT fluence_error |
|    171020A |   171020 |           23.119 |  2.617 |  15.199 |              1.4 |    41.9 |         0.7 |               0.2 |        12.0 |               0.8 |
|    171011A |   171011 |           18.546 | 15.784 | -10.064 |              0.8 |    2.27 |         7.0 |               0.3 |        11.0 |               0.8 |
|    171007A |   171007 |           11.961 |  9.042 |   42.93 |              2.7 |   105.0 |         0.4 |               0.1 |         2.9 |               0.8 |
|    171004A |   171004 |            7.926 |  9.277 |  52.684 |              1.0 |   107.1 |         0.9 |               0.2 |        30.0 |               1.5 |
|    171001A |   171001 |           18.428 |  1.472 | -11.928 |              1.7 |    22.8 |         0.9 |               0.2 |         6.4 |               0.6 |
|    170921A |   170921 |            14.48 |  1.789 |   30.88 |              1.4 |    28.9 |         0.8 |               0.2 |         6.7 |               0.6 |
|    170912B |   170912 |            6.563 | 14.364 | -61.997 |              0.8 |    19.6 |         5.7 |               0.2 |        24.0 |               0.8 |
|    170912A |   170912 |            1.571 | 11.159 | -54.343 |              1.6 |    21.9 |         2.0 |               0.3 |        11.0 |               0.8 |
|    170906C |   170906 |            7.438 |  8.577 |  70.805 |              0.8 |    48.4 |         7.2 |               0.4 |        88.0 |               2.3 |
|    170906A |   170906 |             0.72 | 13.597 | -47.088 |              1.0 |    88.1 |        10.9 |               0.3 |       320.0 |               0.0 |
|    170903A |   170903 |           12.819 | 16.969 |  34.985 |              1.0 |    29.2 |         3.9 |               0.4 |        24.0 |               1.5 |
|    170827A |   170827 |            5.208 | 18.413 | -40.202 |              1.4 |    94.0 |         0.4 |               0.2 |        14.0 |               0.8 |
|    170823A |   170823 |            22.28 | 12.581 |  35.549 |              0.8 |    69.4 |         3.7 |               0.2 |        26.0 |               0.8 |
|    170822A |   170822 |            9.198 |  6.292 |    55.0 |              1.6 |    64.0 |         4.2 |               0.5 |        64.0 |               3.0 |
|    170813A |   170813 |            1.221 | 13.404 |  -5.527 |              2.6 |    75.5 |         0.8 |               0.2 |        19.0 |               1.5 |
|    170810A |   170810 |           22.028 | 12.529 |   3.664 |              0.8 |   152.4 |         1.2 |               0.2 |        48.0 |               1.5 |
|    170807A |   170807 |           21.936 |  9.562 | -17.348 |              1.1 |    48.5 |         1.4 |               0.2 |         8.6 |               0.6 |
|    170804A |   170804 |           12.027 |  0.427 | -64.781 |              1.0 |    43.4 |         0.9 |               0.2 |        13.0 |               0.8 |
|    170803A |   170803 |           17.508 | 11.663 | -16.312 |              0.8 |    3.82 |         6.5 |               0.2 |         9.8 |               0.3 |
|    170728B |   170728 |           23.055 | 15.868 |  70.111 |              1.7 |    47.7 |        1.21 |               0.2 |         6.2 |               0.8 |
|    170728A |   170728 |            6.891 |  3.927 |  12.169 |              1.6 |    1.25 |         1.1 |               0.2 |        0.71 |               0.1 |
|    170724A |   170724 |            0.812 | 10.004 |  -1.025 |              1.8 |    98.0 |         0.5 |               0.2 |        11.0 |               1.5 |
|    170711A |   170711 |            22.34 |  3.052 |  47.845 |              0.8 |    31.3 |         4.8 |               0.2 |        14.0 |               0.8 |
|    170710B |   170710 |            8.168 |  2.875 |  42.679 |              0.8 |    54.4 |         1.2 |               0.2 |        24.0 |               0.8 |
