| Swift name | Swift ID | BAT Trigger-time | BAT RA | BAT Dec | BAT Error-radius | BAT T90 | redshift | BAT Phoflux | BAT Phoflux_error | BAT fluence | BAT fluence_error |
|    171020A |   171020 |           23.119 |  2.617 |  15.199 |              1.4 |    41.9 |     1.87 |         0.7 |               0.2 |        12.0 |               0.8 |
|    170903A |   170903 |           12.819 | 16.969 |  34.985 |              1.0 |    29.2 |    0.886 |         3.9 |               0.4 |        24.0 |               1.5 |
|    170705A |   170705 |            2.763 | 12.781 |  18.298 |              0.8 |   217.3 |     2.01 |        13.9 |               0.3 |        95.0 |               2.3 |
|    170604A |   170604 |           19.147 | 22.843 | -15.406 |              1.1 |    26.7 |    1.329 |         4.2 |               0.7 |        51.0 |               3.0 |
|    170531B |   170531 |           22.036 | 19.127 | -16.414 |              1.1 |  164.13 |    2.366 |         0.8 |               0.2 |        20.0 |               1.5 |
|    170519A |   170519 |            5.167 | 10.895 |  25.374 |              1.1 |   216.4 |    0.818 |         0.7 |               0.1 |        11.0 |               1.5 |
|    170202A |   170202 |           18.467 | 10.168 |   5.021 |              0.8 |    46.2 |    3.645 |         4.7 |               0.2 |        33.0 |               0.8 |
|    170113A |   170113 |           10.068 |  4.116 | -71.933 |              1.0 |   20.66 |    1.968 |         1.1 |               0.1 |         6.7 |               0.5 |
|    161219B |   161219 |           18.811 |  6.114 | -26.801 |              0.8 |    6.94 |    0.147 |         5.3 |               0.3 |        15.0 |               0.8 |
|    161129A |   161129 |            7.194 | 21.081 |  32.137 |              1.4 |   35.53 |    0.645 |         3.4 |               0.2 |        36.0 |               0.8 |
|    161117A |   161117 |            1.593 |  21.47 | -29.612 |              0.8 |   125.7 |    1.549 |         6.8 |               0.2 |       200.0 |               0.0 |
|    161108A |   161108 |            3.542 | 12.052 |  24.905 |              1.4 |   105.1 |    1.159 |         0.6 |               0.1 |        11.0 |               0.8 |
|    161017A |   161017 |           17.864 |  9.518 |  43.125 |              0.8 |   216.3 |    2.012 |         2.8 |               0.2 |        53.0 |               1.5 |
|    161014A |   161014 |           12.523 | 22.175 |   7.467 |              1.1 |    18.3 |    2.823 |         2.9 |               0.5 |        19.0 |               1.5 |
|    160804A |   160804 |            1.546 | 14.777 |  10.002 |              1.0 |   144.2 |    0.736 |         2.9 |               0.2 |       114.0 |               2.3 |
|    160425A |   160425 |           23.436 | 18.689 | -54.343 |              2.6 |  304.58 |    0.555 |         2.8 |               0.2 |        21.0 |               1.5 |
|    160410A |   160410 |            5.163 | 10.046 |   3.461 |              1.1 |     8.2 |    1.717 |         3.5 |               0.2 |         7.8 |               0.6 |
|    160327A |   160327 |            9.269 |   9.78 |  54.018 |              0.8 |    28.0 |     4.99 |         1.8 |               0.2 |        14.0 |               0.8 |
|    160314A |   160314 |           11.548 |  7.518 |  17.024 |              1.3 |    8.73 |    0.726 |         0.9 |               0.2 |         2.8 |               0.3 |
|    160227A |   160227 |           19.536 | 13.002 |  78.672 |              2.1 |   316.5 |     2.38 |         0.6 |               0.1 |        31.0 |               1.5 |
|    160203A |   160203 |            2.219 | 10.798 | -24.772 |              1.3 |    20.2 |     3.52 |         1.3 |               0.3 |        12.0 |               0.8 |
