| GRB     | z      | Ep0     | Ep0_poserr | Ep0_negerr |   Lp    | Lp_poserr | Lp_negerr |
| 040924  | 0.8600 | 124.550 |   11.1500  |   11.1500  | 228.000 |  25.000   |  24.000   |
# 050509B | 0.2248 | 100.434 |   748.353  |   97.9840  | 0.07000 |  0.1000   |  0.0500   |
| 050709  | 0.1606 | 97.3200 |   7.76000  |   0.58000  | 7.51000 |  0.7600   |  0.8100   |
| 051221A | 0.5465 | 621.690 |   87.4200  |   67.6900  | 277.000 |  29.000   |  29.000   |
| 061006  | 0.4377 | 954.630 |   198.390  |   125.860  | 206.000 |  15.000   |  31.000   |
| 070714B | 0.9225 | 2150.40 |   910.390  |   443.520  | 656.000 |  79.000   |  136.00   |
| 080905A | 0.1220 | 759.300 |   308.276  |   308.276  | 1.01700 |  1.0170   |  1.0170   |
| 090510  | 0.9030 | 8679.58 |   947.690  |   947.690  | 10400.0 |  2400.0   |  1400.0   |
| 100117A | 0.9200 | 936.960 |   297.600  |   297.600  | 189.000 |  21.000   |  35.000   |
| 100206  | 0.4100 | 638.980 |   131.210  |   131.210  | 99.8000 |  115.00   |  32.500   |
| 100625A | 0.4520 | 701.320 |   114.710  |   114.710  | 34.0000 |  1.0000   |  1.0000   |
| 100816A | 0.8050 | 235.360 |   15.7400  |   15.7400  | 96.9000 |  19.500   |  12.800   |
| 101219A | 0.7180 | 841.820 |   107.560  |   82.5000  | 156.000 |  24.000   |  23.000   |
| 111117A | 1.3100 | 966.000 |   322.000  |   322.000  | 404.000 |  128.00   |  128.00   |
| 130603B | 0.3560 | 894.960 |   135.600  |   135.600  | 435.000 |  87.000   |  87.000   |
| 131004A | 0.7170 | 247.219 |   153.720  |   153.720  | 23.7290 |  23.729   |  23.729   |
