|    name |                T-time | T90 [s] | T90_error [s] |    flux | flux_error |  fluence_1 | fluence_1_error |  fluence_2 | fluence_2_error |  fluence_3 | fluence_3_error |  fluence_4 | fluence_4_error |
| 910502A | 1991-05-02 11:17:47.4 |   0.315 |         0.023 |   0.364 |      0.052 | 6.7073e-09 |      2.2032e-09 | 1.7829e-08 |      3.0396e-09 | 5.8935e-08 |      7.4537e-09 |  5.276e-08 |      6.3551e-08 |
|  910512 | 1991-05-12 15:15:09.4 |   0.132 |         0.077 |   0.165 |      0.052 | 8.5668e-09 |      1.3707e-09 | 8.5117e-09 |       1.434e-09 | 3.3879e-08 |      5.1329e-09 |        0.0 |      6.4211e-08 |
| 910518A | 1991-05-18 03:25:31.4 |   0.085 |         0.003 |   0.198 |      0.067 | 4.0862e-09 |      1.8969e-09 | 8.4507e-09 |      2.1974e-09 | 5.8126e-08 |      6.0817e-09 | 3.3352e-07 |      1.1754e-07 |
| 910521A | 1991-05-21 21:14:13.2 |   1.173 |         0.069 |   0.665 |      0.057 | 1.1181e-08 |       5.512e-09 | 3.5093e-08 |      6.4808e-09 | 1.2263e-07 |      1.3115e-08 | 3.4937e-07 |      1.2767e-07 |
| 910526B | 1991-05-26 04:39:10.1 |   0.448 |         0.091 |   0.288 |      0.045 | 4.4308e-09 |      1.7163e-09 | 1.1202e-08 |      2.4303e-09 | 5.4209e-08 |      7.2257e-09 | 6.6156e-08 |      6.9113e-08 |
| 910602B | 1991-06-02 12:06:29.5 |   0.384 |         0.707 |   0.483 |      0.057 | 1.1875e-08 |      1.6056e-08 | 1.5741e-08 |      1.4111e-08 | 1.5703e-07 |      6.0678e-07 | 1.0978e-06 |      6.0678e-07 |
| 910607B | 1991-06-07 04:31:01.2 |   0.067 |         0.012 |   0.163 |      0.047 | 5.2673e-10 |      1.1284e-09 | 3.6352e-09 |      1.3682e-09 | 2.9896e-08 |      4.6738e-09 | 6.2825e-08 |      6.0895e-08 |
|  910608 | 1991-06-08 23:14:00.7 |    0.96 |         0.091 |     0.8 |      0.055 | 1.4867e-08 |      3.9478e-09 | 3.3207e-08 |      3.0735e-09 |  1.553e-07 |      7.8882e-09 | 8.6784e-07 |      1.0177e-07 |
|  910609 | 1991-06-09 00:48:27.1 |   0.455 |         0.065 |   6.175 |      0.114 | 1.3681e-07 |      5.6766e-09 | 2.4541e-07 |      6.5185e-09 | 1.1921e-06 |      1.6566e-08 | 4.7116e-06 |      1.1955e-07 |
|  910616 | 1991-06-16 10:39:24.8 |   1.536 |         0.091 |   0.523 |      0.063 | 3.2774e-09 |      6.6443e-09 | 1.0944e-08 |      8.1095e-09 | 2.0065e-07 |      1.7344e-08 | 6.1125e-08 |      1.0108e-07 |
|  910625 |   1991-06-25 05:28:34 |   0.034 |         0.005 |   0.374 |      0.064 |  5.037e-09 |      9.3162e-10 | 9.6922e-09 |      1.4265e-09 | 7.2313e-08 |      4.0178e-09 | 6.2209e-07 |      1.0159e-07 |
|  910626 | 1991-06-26 07:15:13.5 |   0.256 |         0.091 |   4.368 |      0.092 | 1.8878e-07 |      6.9883e-09 | 2.5921e-07 |      7.4834e-09 |  5.823e-07 |      1.6244e-08 | 4.7278e-07 |      1.0593e-07 |
| 910702B | 1991-07-02 06:59:53.1 |   0.152 |         0.032 |   1.552 |      0.082 | 1.2804e-08 |      1.7907e-09 | 3.3208e-08 |      3.1043e-09 | 3.8937e-07 |      1.0227e-08 | 4.8366e-06 |      1.7087e-07 |
|  910703 | 1991-07-03 05:03:43.8 |   0.067 |         0.018 |   0.514 |      0.066 | 1.1837e-08 |      1.7601e-09 | 1.6031e-08 |      1.9099e-09 |  1.145e-07 |      7.2916e-09 | 1.0105e-06 |      1.1838e-07 |
| 910705B | 1991-07-05 00:09:02.8 |    0.32 |         0.066 |   0.372 |      0.052 | 9.6414e-09 |      3.3339e-09 | 1.3888e-08 |      2.7498e-09 | 6.5324e-08 |      7.3057e-09 |        0.0 |      4.6022e-08 |
| 910705A | 1991-07-05 19:34:19.6 |     0.1 |         0.059 |   0.114 |      0.054 | 1.2483e-09 |      1.4025e-09 | 3.3176e-09 |       1.673e-09 |  2.689e-08 |      4.7219e-09 | 1.1517e-06 |      1.6608e-07 |
|  910710 | 1991-07-10 04:33:39.4 |   0.896 |         0.373 |   0.308 |       0.05 | 1.1313e-08 |      5.8214e-09 |        0.0 |       7.447e-09 | 7.4761e-08 |      1.3279e-08 | 4.2405e-07 |      1.9342e-07 |
