|         name |            T-time [hrs] | T90 [s] | T90_error [s] |         flux |   flux_error |      fluence | fluence_error |
| GRB170604603 |                  14.468 |    0.32 |         0.143 | 6.468303e-06 |  6.77985e-07 |   1.1848e-08 |    1.1848e-08 |
| GRB170511648 |                  15.551 |    1.28 |         1.557 |  4.51194e-07 | 2.895504e-07 |   1.2841e-08 |    1.2841e-08 |
| GRB170506169 |                   4.047 |   0.832 |          1.95 | 3.523245e-06 | 7.497575e-07 |   3.3186e-08 |    3.3186e-08 |
| GRB170206453 |                  10.866 |   1.168 |         0.102 | 1.857817e-05 | 7.762756e-07 |   1.1765e-07 |    1.1765e-07 |
| GRB170127634 |                  15.225 |   1.728 |         1.346 | 3.117144e-06 |  4.60779e-07 |   1.2706e-08 |    1.2706e-08 |
| GRB170127067 |                   1.597 |   0.208 |         0.058 | 6.105878e-05 | 2.372851e-06 |   5.2474e-08 |    5.2474e-08 |
| GRB170124528 |                  12.675 |   0.448 |         0.559 | 2.398805e-06 | 4.868546e-07 |   2.0608e-08 |    2.0608e-08 |
| GRB170121133 |                   3.181 |     1.6 |         0.905 | 2.424652e-06 | 4.509203e-07 |    2.416e-08 |     2.416e-08 |
| GRB170111760 |                  18.243 |   0.832 |         0.781 | 3.507935e-06 | 5.028743e-07 |   2.4975e-08 |    2.4975e-08 |
| GRB161230298 |                   7.157 |   0.448 |         0.389 | 2.474801e-06 | 4.806831e-07 |    1.055e-08 |     1.055e-08 |
| GRB161218222 |                   5.323 |    0.32 |         0.516 | 8.229914e-06 | 6.540116e-07 |   2.5648e-08 |    2.5648e-08 |
| GRB161026373 |                   8.955 |   0.112 |          0.21 | 1.052728e-06 | 3.727172e-07 |    1.599e-08 |     1.599e-08 |
| GRB161015400 |                     9.6 |   0.192 |         0.847 | 1.866644e-06 | 3.822944e-07 |   2.0115e-08 |    2.0115e-08 |
| GRB160829334 |                   8.027 |   0.512 |         0.202 | 1.933206e-06 | 3.416318e-07 |   1.1051e-08 |    1.1051e-08 |
| GRB160826938 |                  22.514 |   1.792 |         0.773 | 5.016533e-07 | 2.434509e-07 |   1.4262e-08 |    1.4262e-08 |
| GRB160822672 |                  16.128 |   0.424 |         0.353 | 7.487563e-06 | 7.429371e-07 |   1.3925e-08 |    1.3925e-08 |
