|          z_sim |      L_cut__BATSE |      L_cut__Fermi |      L_cut__Swift |       L_cut__CZTI |
|          1e-05 | 5.45296111333e+39 |  1.6708612612e+40 | 1.40538652534e+40 | 6.92426866317e+40 |
|  0.10011009009 | 6.51824696217e+47 | 1.94132792451e+48 | 1.62176882102e+48 | 8.06501422454e+48 |
|  0.20021018018 | 3.04794673026e+48 | 8.83404887501e+48 | 7.35055367382e+48 | 3.68852186528e+49 |
|  0.30031027027 | 7.88402917247e+48 | 2.22606636966e+49 | 1.84921108661e+49 | 9.36088284976e+49 |
|  0.40041036036 |  1.5886676945e+49 | 4.37377939255e+49 | 3.63447104705e+49 | 1.85547585028e+50 |
|  0.50051045045 | 2.77990927725e+49 | 7.46859472145e+49 | 6.21830135045e+49 | 3.20080531322e+50 |
| 0.600610540541 | 4.43715476113e+49 | 1.16415298949e+50 | 9.72511708421e+49 | 5.04602307371e+50 |
| 0.700710630631 | 6.63558537547e+49 | 1.70123057984e+50 | 1.42762437947e+50 | 7.46504783221e+50 |
| 0.800810720721 | 9.45028293215e+49 | 2.36898268962e+50 | 1.99902813821e+50 | 1.05318086184e+51 |
| 0.900910810811 | 1.29561793476e+50 | 3.17730742201e+50 | 2.69836754364e+50 | 1.43204120786e+51 |
|   1.0010109009 | 1.72281390583e+50 | 4.13521761998e+50 | 3.53713612861e+50 | 1.89053717988e+51 |
|  1.10111099099 | 2.23410971528e+50 | 5.25095067419e+50 | 4.52673978484e+50 | 2.43618270876e+51 |
|  1.20121108108 | 2.83702502684e+50 | 6.53207259608e+50 | 5.67855468103e+50 | 3.07651892873e+51 |
|  1.30131117117 | 3.53912411069e+50 | 7.98557163705e+50 | 7.00397782454e+50 | 3.81910771306e+51 |
|  1.40141126126 | 4.34803442724e+50 | 9.61794064291e+50 | 8.51446992092e+50 | 4.67158281938e+51 |
|  1.50151135135 | 5.27146399204e+50 | 1.14352479225e+51 | 1.02215910197e+51 | 5.64166823181e+51 |
|  1.60161144144 | 6.31721714374e+50 | 1.34431971962e+51 | 1.21370298159e+51 | 6.73719347675e+51 |
|  1.70171153153 | 7.49320888417e+50 | 1.56471785759e+51 | 1.42726275887e+51 |  7.9661073468e+51 |
|  1.80181162162 | 8.80747776187e+50 |   1.805231121e+51 | 1.66403778636e+51 | 9.33649026712e+51 |
|  1.90191171171 | 1.02681973852e+51 |  2.0663479497e+51 | 1.92522610523e+51 | 1.08565651787e+52 |
|   2.0020118018 | 1.18836869108e+51 | 2.34853633743e+51 |  2.2120292689e+51 | 1.25347075869e+52 |
|  2.10211189189 | 1.36624204335e+51 |  2.6522464185e+51 | 2.52566213054e+51 | 1.43794544635e+52 |
|  2.20221198198 | 1.56130356151e+51 | 2.97791259963e+51 | 2.86735409212e+51 | 1.63995125023e+52 |
|  2.30231207207 | 1.77443416213e+51 | 3.32595547665e+51 | 3.23835015538e+51 | 1.86037656564e+52 |
|  2.40241216216 | 2.00653264689e+51 | 3.69678341652e+51 | 3.63991183923e+51 | 2.10012821782e+52 |
|  2.50251225225 | 2.25851638065e+51 | 4.09079386235e+51 | 4.07331804204e+51 | 2.36013212285e+52 |
|  2.60261234234 | 2.53132194785e+51 | 4.50837459049e+51 | 4.53986581501e+51 | 2.64133390883e+52 |
|  2.70271243243 | 2.82590574915e+51 | 4.94990471012e+51 | 5.04087109356e+51 | 2.94469950898e+52 |
|  2.80281252252 | 3.14324460325e+51 |  5.4157555704e+51 | 5.57766933905e+51 | 3.27121572382e+52 |
|  2.90291261261 | 3.48433629798e+51 | 5.90629150109e+51 | 6.15161619921e+51 | 3.62189080478e+52 |
|   3.0030127027 | 3.85020013044e+51 | 6.42187060779e+51 | 6.76408809306e+51 | 3.99775491914e+52 |
|  3.10311279279 | 4.24187744314e+51 | 6.96284529686e+51 | 7.41648276635e+51 | 4.39986073103e+52 |
|  3.20321288288 | 4.66043210721e+51 | 7.52956286439e+51 | 8.11021984422e+51 | 4.82928388038e+52 |
|  3.30331297297 | 5.10695108689e+51 | 8.12236597932e+51 | 8.84674136066e+51 | 5.28712348566e+52 |
|  3.40341306306 | 5.58254485415e+51 | 8.74159311971e+51 | 9.62751221976e+51 | 5.77450263418e+52 |
|  3.50351315315 | 6.08834795028e+51 | 9.38757897755e+51 |  1.0454020751e+52 | 6.29256886576e+52 |
|  3.60361324324 | 6.62551940259e+51 | 1.00606548146e+52 | 1.13277791281e+52 |  6.8424946702e+52 |
|  3.70371333333 | 7.19524323586e+51 | 1.07611487953e+52 | 1.22503238627e+52 | 7.42547787004e+52 |
|  3.80381342342 |  7.7987289507e+51 | 1.14893862284e+52 | 1.32232162431e+52 | 8.04274228339e+52 |
|  3.90391351351 | 8.43721190734e+51 | 1.22456899265e+52 | 1.42480428429e+52 | 8.69553799328e+52 |
|   4.0040136036 | 9.11195390619e+51 | 1.30303803819e+52 | 1.53264156985e+52 |  9.3851419192e+52 |
|  4.10411369369 | 9.82424332055e+51 | 1.38437760156e+52 | 1.64599732506e+52 | 1.01128582807e+53 |
|  4.20421378378 | 1.05753969992e+52 | 1.46861933916e+52 | 1.76503803427e+52 | 1.08800189651e+53 |
|  4.30431387387 | 1.13667577477e+52 | 1.55579473772e+52 | 1.88993287043e+52 | 1.16879841742e+53 |
|  4.40441396396 | 1.21996978135e+52 | 1.64593513624e+52 | 2.02085375447e+52 | 1.25381427119e+53 |
|  4.50451405405 | 1.30756178115e+52 | 1.73907174089e+52 | 2.15797538161e+52 | 1.34319125115e+53 |
